title,authors,year,doi,journal
Hillslope-derived blocks retard river incision,"Shobe, C., G.E Tucker, and R.S. Anderson  ",2016,10.1002/2016GL069262,Geophysical Research Letters
Wet atmospheric deposition of organic carbon: An under-reported source of carbon to watersheds in the northeastern USA.,"Iavorivska L, EW Boyer, and JW Grimm ",2017,10.1002/2016JD026027,"Journal of Geophysical Research - Atmospheres, "
Grain size bias in cosmogenic nuclide studies of stream sediment in steep terrain.,"Lukens, C. E., Riebe, C. S.,  Sklar, L. S.,  Shuster D. L. ",2016,10.1002/2016JF003859,Journal of Geophysical Research: Earth Surface. 
"A model of three-dimensional topographic stresses with implications for bedrock fractures, surface processes, and landscape evolution","Moon, S., J.T. Perron, S.J. Martel, W.S. Holbrook, and J. St. Clair ",2017,10.1002/2016JF004155,Journal of Geophysical Research: Earth Surface
"A model of three-dimensional topographic stresses with implications for bedrock fractures, surface processes, and landscape evolution","Moon, S., J.T. Perron, S.J. Martel, W.S. Holbrook, and J. St. Clair ",2017,10.1002/2016JF004155,Journal of Geophysical Research: Earth Surface
Improving the accuracy of the gradient method for determining soil carbon dioxide efflux,"Sánchez-Cañete E.P., Scott R.L., van Haren J., and Barron-Gafford G.A. ",2017,10.1002/2016JG003530,Journal of Geophysical Research: Biogeosciences
Optimizing embedded sensor network design for catchment scale snowdepth estimation using LiDAR and machine learning,"Oroza, C.A., Zheng, Z., Glaser, S.D., Tuia, D., Bales, R.C ",2016,10.1002/2016WR018896,Water Resources Research.
Impact of hydrologically driven hillslope erosion and landslide occurrence on soil organic carbon dynamics in tropical watersheds,"Dialynas,Y.G., Bastola, S., Bras, R.L., Marin-Spiotta, E., Silver, W.L., Arnone, E., and Noto, L.V.  ",2016,10.1002/2016WR018925,Water Resources Research
Impact of hydrologically driven hillslope erosion and landslide occurrence on soil organic carbon dynamics in tropical watersheds,"Dialynas,Y.G., Bastola, S., Bras, R.L., Marin-Spiotta, E., Silver, W.L., Arnone, E., and Noto, L.V.  ",2016,10.1002/2016WR018925,Water Resources Research
Understanding watershed hydrogeochemistry: 1. Development of RT-Flux-PIHM,"Bao, Chen, Li Li, Yuning Shi, Christopher Duffy ",2017,10.1002/2016WR018934,"Water Resources Research, "
Understanding Watershed Hydrogeochemistry: 2. Synchronized Hydrological and Geochemical Processes Drive Stream Chemostatic Behavior,"Li Li, Chen Bao, Pamela L. Sullivan, Susan Brantley, Yuning Shi, Chris Duffy  ",2017,10.1002/2016WR018935,"Water Resources Research, "
Variation of organic matter quantity and quality in streams at Critical Zone Observatory watersheds,"Miller, Matthew P., Boyer, Elizabeth W., McKnight, Diane M., Brown, Michael G., Gabor, Rachel S., Hunsaker, Carolyn T., Iavorivska, Lidiia, Inamdar, Shreeram, Johnson, Dale W., Kaplan, Louis A., Lin, Henry, McDowell,  William H., Perdrial, Julia N.  ",2016,10.1002/2016WR018970,"Water Resources Research, "
Variation of organic matter quantity and quality in streams at Critical Zone Observatory watersheds,"Miller, Matthew P., Boyer, Elizabeth W., McKnight, Diane M., Brown, Michael G., Gabor, Rachel S., Hunsaker, Carolyn T., Iavorivska, Lidiia, Inamdar, Shreeram, Johnson, Dale W., Kaplan, Louis A., Lin, Henry, McDowell,  William H., Perdrial, Julia N.  ",2016,10.1002/2016WR018970,"Water Resources Research, "
Variation of organic matter quantity and quality in streams at Critical Zone Observatory watersheds,"Miller, Matthew P., Boyer, Elizabeth W., McKnight, Diane M., Brown, Michael G., Gabor, Rachel S., Hunsaker, Carolyn T., Iavorivska, Lidiia, Inamdar, Shreeram, Johnson, Dale W., Kaplan, Louis A., Lin, Henry, McDowell,  William H., Perdrial, Julia N.  ",2016,10.1002/2016WR018970,"Water Resources Research, "
Variation of organic matter quantity and quality in streams at Critical Zone Observatory watersheds,"Miller, Matthew P., Boyer, Elizabeth W., McKnight, Diane M., Brown, Michael G., Gabor, Rachel S., Hunsaker, Carolyn T., Iavorivska, Lidiia, Inamdar, Shreeram, Johnson, Dale W., Kaplan, Louis A., Lin, Henry, McDowell,  William H., Perdrial, Julia N.  ",2016,10.1002/2016WR018970,"Water Resources Research, "
Variation of organic matter quantity and quality in streams at Critical Zone Observatory watersheds,"Miller, Matthew P., Boyer, Elizabeth W., McKnight, Diane M., Brown, Michael G., Gabor, Rachel S., Hunsaker, Carolyn T., Iavorivska, Lidiia, Inamdar, Shreeram, Johnson, Dale W., Kaplan, Louis A., Lin, Henry, McDowell,  William H., Perdrial, Julia N.  ",2016,10.1002/2016WR018970,"Water Resources Research, "
Modeling the influence of preferential flow on the spatial variability and time-dependence of mineral weathering rates,"Pandey, S. And Rajaram, H.  ",2016,10.1002/2016WR019026,Modeling the influence of preferential flow on the spatial variability and time-dependence of mineral weathering rates
Colloids and Organic Matter Complexation Control Trace Metal Concentration-Discharge Relationships in Marshall Gulch Stream Waters,"Trostle K.D., Runyon J.R., Pohlmann M.A., Redfield S.E., Pelletier J., McIntosh J., and Chorover J. ",2016,10.1002/2016WR019072,Water Resources Research
"Framework for event-based semidistributed modeling that unifies the SCS-CN method, VIC, PDM, and TOPMODEL","Bartlett, M.S., A.J. Parolari, J.J. McDonnell, and A. Porporato ",2016,10.1002/2016WR019084,Water Resources Research
"Multiple outflows, spatial components, and nonlinearities in age theory","Calabrese, S., and Porporato, A. ",2017,10.1002/2016WR019227,"Water Resources Research, "
"Regional sensitivities of seasonal snowpack to elevation, aspect, and vegetation cover in western North America","Christopher J. Tennant, Adrian A. Harpold, Kathleen Ann Lohse, Sarah E. Godsey, Benjamin T. Crosby, Laurel G. Larsen, Paul D. Brooks, Robert W. Van Kirk, Nancy F. Glenn ",2017,10.1002/2016WR019374,Water Resources Research
"Regional sensitivities of seasonal snowpack to elevation, aspect, and vegetation cover in western North America","Christopher J. Tennant, Adrian A. Harpold, Kathleen Ann Lohse, Sarah E. Godsey, Benjamin T. Crosby, Laurel G. Larsen, Paul D. Brooks, Robert W. Van Kirk, Nancy F. Glenn ",2017,10.1002/2016WR019374,Water Resources Research
"Regional sensitivities of seasonal snowpack to elevation, aspect, and vegetation cover in western North America","Christopher J. Tennant, Adrian A. Harpold, Kathleen Ann Lohse, Sarah E. Godsey, Benjamin T. Crosby, Laurel G. Larsen, Paul D. Brooks, Robert W. Van Kirk, Nancy F. Glenn ",2017,10.1002/2016WR019374,Water Resources Research
"Regional sensitivities of seasonal snowpack to elevation, aspect, and vegetation cover in western North America","Christopher J. Tennant, Adrian A. Harpold, Kathleen Ann Lohse, Sarah E. Godsey, Benjamin T. Crosby, Laurel G. Larsen, Paul D. Brooks, Robert W. Van Kirk, Nancy F. Glenn ",2017,10.1002/2016WR019374,Water Resources Research
Hydro-geomorphic perturbations on the soil-atmosphere CO2 exchange: How (un)certain are our balances?,"Dialynas, Y. G., R. L. Bras, and D. deB. Richter ",2017,10.1002/2016WR019411,Water Resources Research
